排名,名称,追番人数
143,JOJO的奇妙冒险 不灭钻石,269.1万追番
144,在魔王城说晚安,268.3万追番
145,炎炎消防队 贰之章,267.8万追番
146,打了300年的史莱姆，不知不觉就练到了满级,265.8万追番
147,钢之炼金术师 FULLMETAL ALCHEMIST,265.8万追番
148,约会大作战,265.5万追番
149,月光下的异世界之旅,265.4万追番
150,甘城光辉游乐园,259.7万追番
151,炎炎消防队,258.8万追番
152,元气少女缘结神◎,258.1万追番
153,在地下城寻求邂逅是否搞错了什么 第三季,257.5万追番
154,夏目友人帐 第五季,256.9万追番
155,擅长捉弄的高木同学 第二季,255.3万追番
156,某科学的超电磁炮S,253.8万追番
157,线上游戏的队友不可能是女生？,253.3万追番
158,愤怒的审判,252.4万追番
159,食戟之灵,250.8万追番
160,好比是最终迷宫前的少年到新手村生活一般的故事,250.7万追番
161,玉子市场,250.1万追番
162,我女友与青梅竹马的惨烈修罗场,249.6万追番
163,贤者之孙,248.7万追番
164,你的名字。,248.3万追剧
165,中二病也要谈恋爱！恋,248.3万追番
166,请问您今天要来点兔子吗？BLOOM,247.8万追番
167,猫和老鼠 旧版,245.3万追番
168,野良神 ARAGOTO,245.1万追番
169,约会大作战 第三季,245.1万追番
170,从零开始的魔法书,244.7万追番
171,黑色四叶草,244.1万追番
172,落第骑士英雄谭,242.7万追番
173,侦探已死,242.5万追番
174,Fate/Grand Order ‐First Order‐,242.4万追番
175,言叶之庭,242.3万追番
176,打工吧！魔王大人,242.2万追番
177,喜欢本大爷的竟然就你一个？,242.1万追番
178,会长是女仆大人！,241.3万追番
179,奇蛋物语 / WONDER EGG PRIORITY,237.8万追番
180,魔法纪录 魔法少女小圆外传 第二季,237.8万追番
181,装甲重拳/MEGALOBOX 第二季,236.6万追番
182,精灵幻想记,235.7万追番
183,齐木楠雄的灾难 第二季,234.7万追番
184,幻界战线,232.6万追番
185,君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,232.1万追番
186,宇崎学妹想要玩！,231.8万追番
187,CAROLE & TUESDAY,231.1万追番
188,小木乃伊到我家,228.6万追番
189,漆黑的子弹,228.1万追番
190,死神少爷与黑女仆,228万追番
191,少女终末旅行,227.6万追番
192,Angel Beats!,225.5万追番
193,我的妹妹不可能那么可爱 第一季,225.4万追番
194,我，不是说了能力要平均值么！,225.3万追番
195,我们的重制人生,225万追番
196,食戟之灵 贰之皿,223.4万追番
197,此花亭奇谭,223.3万追番
198,重来吧，魔王大人！,223.2万追番
199,星掠者,223.2万追番
200,Fate/Zero 第二季,223万追番
201,轻音少女 第一季,222.8万追番
202,银魂,220.3万追番
203,骑士&魔法,219.6万追番
204,属性咖啡厅,217.9万追番
205,终结的炽天使 名古屋决战篇,216.6万追番
206,K,214.3万追番
207,诸神的逆鳞,213.5万追番
208,博人传 火影忍者新时代,212.8万追番
209,你与我最后的战场，亦或是世界起始的圣战,211.4万追番
210,装甲重拳/MEGALOBOX,211万追番
211,夏目友人帐 第六季,210.8万追番
212,声之形,208.8万追剧
213,这个美术社大有问题！,208.4万追番
214,地狱少女,208.2万追番
215,在地下城寻求邂逅是否搞错了什么 第二季,208万追番
216,我被逐出队伍后过上慢生活,203.6万追番
217,伪恋,203.4万追番
218,我立于百万生命之上（第二季）,203.2万追番
219,玉子爱情故事,202.2万追番
220,犬夜叉,201.9万追番
221,半妖的夜叉姬,200.3万追番
222,我立于百万生命之上,199.7万追番
223,双星之阴阳师,198.3万追番
224,pop子和pipi美的日常,197.5万追番
225,成神之日,197.4万追番
226,One Room 第三季,196.4万追番
227,戒律的复活,194.4万追番
228,弱势角色友崎君,194.4万追番
229,魔法少女小圆,194.2万追番
230,学战都市Asterisk,193.3万追番
231,剑姬神圣谭 在地下城寻求邂逅是否搞错了什么 外传,192.7万追番
232,无论何时我们的恋情都是10厘米。～告白实行委员会～,192.6万追番
233,无能力者娜娜,191万追番
234,异世界食堂,189.8万追番
235,请问您今天要来点兔子吗？,189万追番
236,EVA 新世纪福音战士,188.5万追番
237,邻座的怪同学,188.2万追番
238,火影忍者 疾风传,186.1万追番
239,瓦尼塔斯的手记,183.5万追番
240,我们无法一起学习！,182.6万追番
241,无限滑板 / SK8 the Infinity,182.4万追番
242,世界尽头的圣骑士,182.2万追番
243,神之塔,180.9万追番
244,齐木楠雄的灾难（日播&精选版）,180.1万追番
245,忧国的莫里亚蒂,179.6万追番
246,One Room,178.5万追番
247,见面5秒开始战斗,178.1万追番
248,我们无法一起学习,177.9万追番
249,ReLIFE,177.7万追番
250,格莱普尼尔,176.9万追番
251,终将成为你,176.3万追番
252,百变小樱,175.6万追番
253,Love Live! School Idol Project,175.2万追番
254,幻界战线 & BEYOND,174.2万追番
255,异界少女召唤术,173.5万追番
256,问题儿童都来自异世界？,172.3万追番
257,关于前辈很烦人的事,172.1万追番
258,我太受欢迎了该怎么办,170.9万追番
259,黑执事,170.9万追番
260,品酒要在成为夫妻后,170.8万追番
261,Just Because!,170.7万追番
262,青梅竹马绝对不会输的恋爱喜剧,170.5万追番
263,邪神与厨二病少女,170.4万追番
264,没落要塞 / DECA-DENCE,169.3万追番
265,地狱少女 宵伽,168.8万追番
266,邪神与厨二病少女 第二季,168.7万追番
267,GOSICK,168.6万追番
268,实况主的逃脱游戏,168.2万追番
269,魔法禁书目录 第二季,168.1万追番
270,街角魔族,168.1万追番
271,流汗吧！健身少女,167.7万追番
272,樱子小姐的脚下埋着秘密,167.6万追番
273,弹丸论破,166.9万追番
274,URARA迷路帖,166.6万追番
275,悠哉日常大王 第三季,166.4万追番
276,魔法纪录 魔法少女小圆外传,165.5万追番
277,Love Live! 学园偶像 电影,165.3万追番
278,请问您今天要来点兔子吗？？～Sing for You～,164.9万追番
279,宿命回响：命运节拍,164.8万追番
280,笨蛋，测验，召唤兽,164.1万追番
281,迪迦奥特曼（中配）,164万追番
282,伪恋：,163.9万追番
283,碧蓝航线,163.9万追番
