排名,名称,追番人数
658,TARI TARI,57.5万追番
659,格林笔记 The Animation,57.4万追番
660,舞动青春,57.3万追番
661,头文字D First Stage,57.2万追番
662,迷家,57万追番
663,3月的狮子 第二季,56.9万追番
664,南家三姐妹,56.6万追番
665,不愉快的怪物庵 续,56.6万追番
666,明治东京恋伽,56.5万追番
667,爱丽丝与藏六,56.4万追番
668,[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,56.4万追番
669,KARNEVAL狂欢节,56.4万追番
670,夏目友人帐 OVA,56.3万追番
671,未确认进行式,56.3万追番
672,普罗米亚,56.1万追剧
673,机动战士高达 铁血的奥尔芬斯 第一季,56.1万追番
674,深夜的超自然公务员,56万追番
675,蔷薇少女,55.9万追番
676,黑子的篮球 第3期,55.8万追番
677,听我的电波吧,55.7万追番
678,IDOLiSH7-偶像星愿- Second BEAT!,55.7万追番
679,歌舞伎町夏洛克,55.7万追番
680,Ange Vierge,55.6万追番
681,約會大作戰 第二季 （僅限港澳台地區）,55.4万追番
682,IDOLiSH7-偶像星愿-,55.4万追番
683,迷宫标记者,55.3万追番
684,怪盗基德,55.1万追番
685,我们大家的河合庄,54.9万追番
686,神不在的星期天,54.9万追番
687,无头骑士异闻录×2 承,54.8万追番
688,龙之界点,54.7万追番
689,今天开始做魔王 第一季,54.6万追番
690,KEMURIKUSA,54.5万追番
691,蜡笔小新 第二季（中文）,54.4万追番
692,OVERLORD SP,54.4万追番
693,魔法少女育成计划,54.3万追番
694,天降之物Final 我永远的鸟笼,54.1万追番
695,神薙,53.7万追番
696,恶魔之谜,53.6万追番
697,偶像荣耀/IDOLY PRIDE,53.5万追番
698,战翼的希格德莉法,53.4万追番
699,织田肉桂信长,53.4万追番
700,CHAOS;CHILD,53.3万追番
701,蓝色时期,53.3万追番
702,元气囝仔,53.2万追番
703,公主恋人！,53.2万追番
704,鲁邦三世VS名侦探柯南THE MOVIE,53.1万追番
705,机动战士高达00,53.1万追番
706,BanG Dream!,53万追番
707,白兔糖,52.7万追番
708,狼的孩子雨和雪,52.6万追番
709,魔偶马戏团,52.3万追番
710,全金属狂潮 Invisible Victory,52.1万追番
711,潜行吧！奈亚子 Remember My Love,52万追番
712,魔法战争,51.8万追番
713,名侦探柯南 Episode“ONE” 变小的名侦探,51.8万追番
714,蜡笔小新 第六季（中文）,51.7万追番
715,爱书的下克上：为了成为图书管理员不择手段！ 第二部,51.7万追番
716,月歌,51.7万追番
717,人形电脑天使心,51.3万追番
718,高达创形者 再起 第二季,51.2万追番
719,EVA 新世纪福音战士新剧场版1.11：序,51万追番
720,BanG Dream! 梦想协奏曲 第三季,51万追番
721,厨神小当家2（中配）,51万追番
722,零之使魔 双月骑士,50.8万追番
723,巴哈姆特之怒 GENESIS,50.7万追番
724,苍之骑士团,50.5万追番
725,Charlotte SP,50.4万追番
726,NEKOPARA EXTRA 小猫篇（猫娘乐园）,50.3万追番
727,未来的未来,50.1万追剧
728,武装少女,50万追番
729,池袋西口公园,49.9万追番
730,宝石幻想 光芒重现,49.6万追番
731,真实之泪,49.6万追番
732,江户川柯南失踪事件～史上最糟糕的两天～,49.6万追番
733,凉宫春日的消失,49.5万追番
734,凉宫春日的忧郁 2006,49.3万追番
735,K MISSING KINGS,49.3万追番
736,野良神 ARAGOTO OAD,49.2万追番
737,魔笛MAGI 第二季,49.1万追番
738,爱书的下克上：为了成为图书管理员不择手段！,49.1万追番
739,在世界尽头咏唱恋曲的少女YU-NO,48.8万追番
740,姐姐来了,48.8万追番
741,夏目友人帐 第五季 特别篇,48.7万追番
742,重创的伤口,48.6万追番
743,牵牛花与加濑同学。,48.5万追番
744,写真女友,48.4万追番
745,浪客剑心 追忆篇,48.3万追番
746,创之界限,48.2万追番
747,SOLA,48万追番
748,Re：从零开始休息时间,47.8万追番
749,机动战士高达SEED HD,47.4万追番
750,无头骑士异闻录×2 结,47.3万追番
751,异世界居酒屋～古都阿伊特力亚的居酒屋阿信～,47.3万追番
752,怪盗基德1412,47.3万追番
753,叛逆性百万亚瑟王,47.3万追番
754,狼与香辛料 第二季,47.2万追番
755,伪恋 OAD,47万追番
756,食梦者,46.9万追番
757,偶像大师 灰姑娘女孩,46.9万追番
758,剧场版 阿松,46.9万追番
759,花牌情缘 第三季,46.9万追番
760,悠久之翼,46.8万追番
761,悠哉日常大王 Repeat OAD,46.8万追番
762,BanG Dream! 梦想协奏曲 电影演唱会,46.8万追番
763,机甲少女 FRAME ARMS GIRL,46.8万追番
764,Q弟侦探因幡,46.8万追番
765,企鹅公路,46.7万追剧
766,王之逆袭：意志的继承者,46.7万追番
767,搞笑漫画日和,46.6万追番
768,电器街的漫画店,46.6万追番
769,若能与你共乘海浪之上,46.5万追剧
770,進擊的巨人 第三季 Part.2（僅限台灣地區）,46.4万追番
771,少女们向荒野进发,46.4万追番
772,黑塔利亚 The World Twinkle 第6期,46.3万追番
773,黑子的篮球 第2期,46.2万追番
774,猎魔武士/GIBIATE,46.2万追番
775,田中君总是如此慵懒 特典,46.1万追番
776,滑头鬼之孙 第二季,46.1万追番
777,春宵苦短，少女前进吧,45.9万追番
778,青春生存游戏,45.9万追番
779,宅饮,45.7万追番
780,无法逃离的背叛,45.7万追番
781,肆式青春,45.6万追剧
782,吸血鬼骑士,45.5万追番
783,革命机Valvrave,45.4万追番
784,覆面系 NOISE,45.4万追番
785,零之使魔F,45.4万追番
786,学园偶像?阳光!! 第二季,45.3万追番
787,只要長得可愛，即使是變態你也喜歡嗎？（僅限台灣地區）,45万追番
788,EVA 新世纪福音战士新剧场版3.33：Q,45万追番
789,人类衰退之后,44.8万追番
790,兽娘动物园,44.7万追番
791,Concrete Revolutio 超人幻想 第一季,44.6万追番
792,中二病也要谈恋爱！恋 Lite,44.2万追番
793,寻找失去的未来,44.1万追番
794,S.A特优生,43.9万追番
795,星合之空,43.7万追番
796,乒乓,43.6万追番
797,重神机潘多拉,43.6万追番
798,大正少女御伽话,43.5万追番
799,阿尔蒂,43.5万追番
800,海兽之子,43.4万追剧
801,田中君总是如此慵懒小剧场,43.3万追番
802,冷然之天秤,43.3万追番
803,网球王子,43.2万追番
804,烧窑的话也要马克杯 第二季,43.2万追番
805,宇宙战舰提拉米斯,42.9万追番
806,妖狐×仆SS SP,42.7万追番
807,BEM,42.7万追番
808,白猫计划 零之纪元,42.6万追番
809,RAIL WARS!-日本国有铁道公安队-,42.3万追番
810,龙的牙医,42.2万追番
811,亚尔斯兰战记,42万追番
812,猫神八百万,41.8万追番
813,ALDNOAH.ZERO,41.7万追番
814,满溢的水果挞,41.7万追番
815,来自深渊 剧场版总集篇,41.7万追番
816,结城友奈是勇者,41.7万追番
817,花牌情缘,41.6万追番
818,美少年侦探团,41.6万追番
819,超级弹丸论破2.5 狛枝凪斗与世界的破坏者,41.4万追番
820,EVA 新世纪福音战士新剧场版2.22：破,41.4万追番
821,纯白之音,41.4万追番
822,+TIC模型姐妹,41.3万追番
823,心灵的声音,41.3万追番
824,好想告诉你 第二季,41.2万追番
825,Love Live！虹咲学园学园偶像同好会,41.2万追番
826,长门有希酱的消失,41.2万追番
827,付丧神出租中,40.9万追番
828,魔法科高校的劣等生 简单易懂的魔法科！,40.9万追番
829,宝可梦：超梦的逆袭 进化,40.8万追剧
830,奇幻☆怪盗,40.8万追番
831,动画同好会,40.6万追番
832,Thunderbolt Fantasy 东离剑游纪 西幽玹歌,40.6万追番
833,浪客剑心 新京都篇,40.5万追番
834,厨神小当家,40.4万追番
835,Little Busters! ～Refrain～,40.4万追番
836,聆听者 / LISTENERS,40.2万追番
837,Thunderbolt Fantasy 东离剑游纪,40万追番
838,发条精灵战记 天镜的极北之星,39.8万追番
839,社长，战斗时间到！,39.4万追番
840,Free! -Eternal Summer-,39.3万追番
841,ANIMAYELL!,39.3万追番
842,魔法少女什么的已经够了啦。,39.2万追番
843,歌剧少女！！,39.1万追番
844,玻璃之花与崩坏的世界,39.1万追番
845,钢壳都市雷吉欧斯,39.1万追番
846,迷糊餐厅 WORKING!!!,39.1万追番
847,ENDRO~!,39万追番
848,三颗星彩色冒险,38.9万追番
849,×××HOLiC 继,38.5万追番
850,BUDDY COMPLEX,38.4万追番
851,笑容的代价,38.3万追番
852,四月是你的谎言 OAD,38.3万追番
853,DOG DAYS,38.3万追番
854,浪客剑心 星霜篇,38.2万追番
855,蔚蓝反射 澪,38.2万追番
856,未来都市No.6,38.2万追番
857,琴浦小姐,38.1万追番
858,灼眼的夏娜III -Final-,38.1万追番
859,猫眼三姐妹,38万追番
860,LOST SONG 失落的歌谣,38万追番
861,Classroom☆Crisis,37.9万追番
862,再见绝望先生,37.8万追番
863,初音岛,37.7万追番
864,世界征服 谋略之星,37.7万追番
865,小森同学拒绝不了！,37.6万追番
866,RobiHachi,37.5万追番
867,剧场版 悠哉日常大王 Vacation,37.4万追番
868,灼眼的夏娜II -Second-,37.3万追番
869,薄樱鬼,37.3万追番
870,全部成为F -THE PERFECT INSIDER-,37.2万追番
871,黄金拼图,37.2万追番
872,有顶天家族,37.2万追番
873,鬼斩,37万追番
874,CLANNAD ～AFTER STORY～另一个世界 杏篇,36.9万追番
875,EVA 新世纪福音战士剧场版：Air / 真心为你,36.8万追番
876,中间管理录利根川,36.6万追番
877,番剧茶会,36.6万追番
878,萝球社！,36.4万追番
879,世界魔女出发！,36.4万追番
880,厨病激发男孩,36.2万追番
881,DARKER THAN BLACK -流星的双子-,36.1万追番
882,剧场版 BEM BECOME HUMAN,36万追番
883,FORTUNE ARTERIAL -赤之约定-,36万追番
884,泽塔奥特曼（中配）,35.9万追番
885,隐瞒之事 电影剪辑版,35.8万追番
886,魔法使的新娘（僅限台灣地區）,35.7万追番
887,小马宝莉 第一季,35.7万追番
888,珈百璃的堕落 SP,35.5万追番
889,梅露可物语 : 无精打采的少年与瓶中少女,35.5万追番
890,新樱花大战,35.4万追番
891,地狱少女 二笼,35.4万追番
892,三者三叶,35.4万追番
893,异界群敌 代码重组,35.3万追番
894,便·当,35.3万追番
895,工作细胞 第二季（中配版）,35.2万追番
896,罪恶王冠 SP,35.2万追番
897,机动战士高达SEED Destiny HD,35万追番
898,命运石之门 境界面上的迷失之链,34.8万追番
899,学生会的一己之见 Lv.2,34.8万追番
900,CLANNAD 另一个世界 智代篇,34.8万追番
901,工作细胞（中配版）,34.7万追番
902,伯爵与妖精,34.6万追番
903,Punch Line,34.6万追番
904,梦色蛋糕师,34.5万追番
905,蜂蜜与四叶草,34.5万追番
906,中二病也要谈恋爱！恋 SP,34.3万追番
907,体操武士,34.2万追番
908,野良神 OAD,34.2万追番
909,结城友奈是勇者 鹫尾须美之章&勇者之章,34.1万追番
910,跟班×服务,34.1万追番
911,命运石之门 聪明睿智的认知计算,34万追番
912,宇宙巡警露露子,33.9万追番
913,Regalia 三圣星,33.9万追番
914,黑之宣告,33.9万追番
915,亚尔斯兰战记 风尘乱舞,33.8万追番
916,高达创形者 再起,33.8万追番
917,佐賀偶像是傳奇（僅限港澳台地區）,33.7万追番
918,紫罗兰永恒花园 中配版,33.6万追番
919,放学后桌游俱乐部,33.6万追番
920,路人超能100 REIGEN～不为人知的奇迹灵能者～（OVA）,33.5万追番
921,高达创形者,33.4万追番
922,普通攻擊是全體二連擊，這樣的媽媽你喜歡嗎？（僅限台灣地區）,33.2万追番
923,剧场版总集篇 OVERLORD 不死者之王,33.2万追番
924,Dance with Devils,33.2万追番
925,兄弟战争,33.1万追番
926,魔法律事务所 第二季,33.1万追番
927,圣斗士星矢 THE LOST CANVAS 冥王神话,33万追番
928,進擊的巨人 第三季（僅限台灣地區）,33万追番
929,梦幻之星 神谕篇,32.7万追番
930,我家有个狐仙大人,32.7万追番
931,男孩遇见女孩,32.7万追番
932,堀桑与宫村君,32.4万追番
933,UQ HOLDER！悠久持有者 OAD,32.3万追番
934,机动战士高达00 第二季,32.2万追番
935,超心动！艺术之星,32.2万追番
936,龙珠超：布罗利,32.2万追剧
937,Lostorage incited WIXOSS,32.1万追番
938,女神异闻录4,32万追番
939,KANON / 雪之少女（京都版）,32万追番
940,影之诗,32万追番
941,光之战记－ZUERST－,32万追番
942,沒有黃段子的無聊世界（僅限港澳台地區）,32万追番
943,三丽鸥男子,32万追番
944,烧窑的话也要马克杯,32万追番
945,希德尼娅的骑士 第一季,32万追番
946,鹿枫堂,31.9万追番
947,DEPTH OF FIELD ～ 爱与憎恨的剧场,31.8万追番
948,踏切时间,31.8万追番
949,OVERLORD Ⅱ SP,31.7万追番
950,URAHARA,31.6万追番
951,夏日大作战,31.6万追番
952,花开伊吕波 Home Sweet Home,31.5万追番
953,和歌子酒 动画,31.5万追番
954,传颂之物,31.4万追番
955,攀岩少女！,31.4万追番
956,无畏魔女,31.2万追番
957,八犬传 -东方八犬异闻- 第二季,31.2万追番
958,精灵宝可梦 XY,31.2万追番
959,吸血鬼仆人,31.2万追番
960,幽游白书,31.1万追番
961,虚空魔境 第二季,31.1万追番
962,剧场版总集篇 OVERLORD 漆黑的英雄,30.9万追番
963,归宅部活动记录,30.9万追番
964,Room Mate,30.7万追番
965,偶像梦幻祭,30.7万追番
966,快要坏掉的八音盒,30.6万追番
967,EVA 新世纪福音战士剧场版：死与新生,30.6万追番
968,翠星之加尔刚蒂亚,30.5万追番
969,佐賀偶像是傳奇 捲土重來（僅限港澳台地區）,30.5万追番
970,学园帅哥,30.4万追番
971,中二病也要谈恋爱！Lite,30.4万追番
972,巴哈姆特之怒 VIRGIN SOUL,30.3万追番
973,狂热深渊-迷失的孩子,30.3万追番
974,草莓棉花糖,30.2万追番
975,ViVid Strike!,30.1万追番
976,LORD of VERMILION 红莲之王,30.1万追番
977,富豪刑警 Balance:UNLIMITED（僅限港澳台地區）,29.9万追番
978,罪恶王冠 失落的圣诞节 an episode of port town,29.9万追番
979,钢之炼金术师 叹息之丘的圣星,29.8万追番
980,我的朋友很少 OAD,29.7万追番
981,魔术士欧菲流浪之旅 基姆拉克篇,29.6万追番
982,笨蛋，测验，召唤兽 OVA,29.6万追番
983,十二国记,29.6万追番
984,战刻夜想曲,29.6万追番
985,TRINITY SEVEN 七人魔法使 剧场版 2,29.5万追番
986,众神的恶作剧,29.4万追番
987,星际牛仔 SP,29.4万追番
988,装甲娘战机,29.4万追番
989,Code Geass 亡国的阿基德,29.4万追番
990,灰色的迷宫,29.3万追番
991,美丽新世界 The Animation/美好世界,29.3万追番
992,卡片战斗先导者overDress,29.2万追番
993,消灭都市,29.2万追番
994,男子高中生的日常 SP,29.2万追番
995,那就是声优！,29.1万追番
996,锁链战记 赫克瑟塔斯之光,29.1万追番
997,告白实行委员会 告白预演,29万追番
998,武装神姬,28.9万追番
999,逆转裁判 第二季,28.9万追番
1000,银之匙 Silver Spoon 第一季,28.9万追番
1001,心灵侦探八云,28.8万追番
1002,潜行吧！奈亚子 OVA 温柔地解决敌人的方法,28.7万追番
1003,梦幻之星online2,28.7万追番
1004,荒川爆笑团2,28.7万追番
1005,战斗女子高校,28.6万追番
1006,花样滑冰Stars,28.5万追番
1007,舞伎家的料理人,28.5万追番
1008,请问您今天要来点兔子吗？？～Dear?My?Sister～,28.4万追番
1009,笑面推销员NEW,28.4万追番
1010,青年黑杰克,28.3万追番
1011,偶像大师,28.3万追番
1012,迷糊餐厅 WORKING’!!,28.1万追番
1013,机动战士高达 铁血的奥尔芬斯 第二季,28.1万追番
1014,魔卡少女樱 被封印的卡片,28万追番
1015,石膏男孩,28万追番
1016,加速世界 Infinite Burst,27.9万追番
1017,尸者的帝国,27.8万追番
1018,堀与宫村 中配版,27.7万追番
1019,斩首循环 蓝色学者与戏言跟班,27.6万追番
1020,政宗君的复仇（僅限港澳台地區）,27.6万追番
1021,OVERLORD Ⅲ SP,27.5万追番
1022,斯特拉的魔法,27.5万追番
1023,颠倒的帕特玛,27.4万追番
1024,狼少女与黑王子,27.4万追番
1025,蜡笔小新 第三季（中文）,27.4万追番
1026,Butlers～千年百年物语～,27.3万追番
1027,精灵宝可梦 剧场版3：结晶塔的帝王（中文版）,27.3万追番
1028,2.43清阴高中男子排球社,27.3万追番
1029,新蔷薇少女,27.2万追番
1030,超级小白,27.2万追番
1031,幻想嘉年华 Special Season,27.1万追番
1032,18if 梦境异闻录,27万追番
1033,A3!满开剧团 秋组&冬组篇,27万追番
1034,隐之王,26.8万追番
1035,测不准的阿波连同学,26.7万追番
1036,刀语,26.7万追番
1037,名侦探柯南 贝克街的亡灵,26.7万追番
1038,锁链战记 赫克瑟塔斯之光,26.7万追番
1039,全金属狂潮,26.6万追番
1040,药师寺凉子的怪奇事件簿,26.6万追番
1041,将国之天鹰星,26.6万追番
1042,机动战士高达：闪光的哈萨维,26.5万追番
1043,蜡笔小新 第五季（中文）,26.5万追番
1044,鲁邦三世 第五季,26.4万追番
1045,若叶女孩,26.4万追番
1046,滿腦都是○○的我沒辦法談戀愛（僅限台灣地區）,26.4万追番
1047,咒术回战 粤配版,26.3万追番
1048,甜梦猫,26.2万追番
1049,RErideD-穿越时空的德理达,26.1万追番
1050,英雄时代,26.1万追番
1051,魔卡少女樱 香港之旅,25.9万追番
1052,龙珠Z：复活的弗利萨,25.9万追剧
1053,地狱少女 三鼎,25.8万追番
1054,奇幻贵公子,25.8万追番
1055,Little Busters! EX,25.7万追番
1056,青之文学,25.7万追番
1057,魔力家族,25.6万追番
1058,心靈代碼 QUALIDEA CODE（僅限港澳台地區）,25.6万追番
1059,黑塔利亚 Axis Powers 第2期,25.6万追番
1060,神装少女小缠,25.6万追番
1061,剧场版「High☆Speed! -Free! Starting Days-」,25.5万追番
1062,彩云国物语,25.5万追番
1063,交响诗篇 第一季,25.5万追番
1064,UN-GO 因果论,25.5万追番
1065,潜行吧！奈亚子F,25.5万追番
1066,游☆戏☆王 5D's 第一季,25.5万追番
1067,Infini-T Force,25.4万追番
1068,蜡笔小新 第四季（中文）,25.3万追番
1069,彗星路西法,25.3万追番
1070,DARKER THAN BLACK -黑之契约者- 外传,25.3万追番
1071,SHUFFLE,25.3万追番
1072,山田君与7人魔女 OAD,25.3万追番
1073,魔法禁书目录 炭,25.2万追番
1074,次元发电机,25.1万追番
1075,编舟记,25.1万追番
1076,舞武器舞乱伎,25万追番
1077,女神异闻录5 -THE DAY BREAKERS-,25万追番
1078,钻石王牌 act II 后半,24.9万追番
1079,东京教父,24.8万追番
1080,OVERLORD OAD,24.8万追番
1081,幻想嘉年华 EX Season,24.8万追番
1082,圣诞之吻SS+ SP,24.8万追番
1083,最终幻想VII：降临之子,24.6万追番
1084,歌之☆王子殿下 真爱1000%,24.5万追番
1085,小不点社长,24.5万追番
1086,星际牛仔 天国之扉,24.4万追番
1087,BanG Dream! 第二季,24.3万追番
1088,出租魔法使,24.3万追番
1089,前进吧！登山少女,24.3万追番
1090,OZMAFIA!!,24.2万追番
1091,Stories?of?Last?Letter,24.2万追番
1092,新网球王子 OVA 对战Genius10,24.2万追番
1093,吸血鬼骑士 Guilty,24.2万追番
1094,黑色残骸,24.1万追番
1095,我的女神,24.1万追番
1096,11eyes,24.1万追番
1097,幸腹涂鸦,24.1万追番
1098,南家三姐妹 我回来了,24.1万追番
1099,黑塔利亚 World Series 第3期,24万追番
1100,笑对阴天,23.9万追番
1101,异国迷宫的十字路口,23.9万追番
1102,魔女的使命 OVA,23.8万追番
1103,天线宝宝,23.7万追番
1104,出租女友（僅限港澳台地區）,23.7万追番
1105,魔法少女奈叶,23.6万追番
1106,橘色奇迹,23.6万追番
1107,枪与假面舞会,23.5万追番
1108,黑塔利亚 The Beautiful World 第5期,23.5万追番
1109,虫之歌,23.4万追番
1110,甘城光辉游乐园 SP 激动人心小剧场,23.3万追番
1111,键等学园/键等,23.3万追番
1112,募恋英雄,23.2万追番
1113,星之梦～星之人～,23.2万追番
1114,千年女优,23.1万追番
1115,勇者斗恶龙 达伊的大冒险,23万追番
1116,被狙击的学园,23万追番
1117,天元突破 红莲螺岩 剧场版,23万追番
1118,犬神同学和猫山同学,23万追番
1119,剧偶像,23万追番
1120,特别的她,23万追番
1121,幼女战记 短篇,23万追番
1122,魔法少女☆伊莉雅 OVA,23万追番
1123,问题儿童都来自异世界？ OVA 温泉漫游记,22.8万追番
1124,C?DE:BREAKER 法外制裁者,22.8万追番
1125,环战公主 CIRCLET PRINCESS,22.8万追番
1126,真月谭月姬,22.7万追番
1127,前进吧！登山少女 第三季,22.7万追番
1128,名侦探柯南 计时引爆摩天楼,22.7万追番
1129,学园奶爸,22.5万追番
1130,怪物之子,22.4万追番
1131,怪盗圣少女,22.4万追番
1132,騷亂時節的少女們。（僅限台灣地區）,22.3万追番
1133,我，小怼,22.3万追番
1134,亡念之扎姆德,22.3万追番
1135,魔法老师涅吉! 第一季,22.2万追番
1136,DAYS,22.2万追番
1137,魔法少女☆伊莉雅 2wei Herz! SP,22万追番
1138,永远之久远,21.9万追番
1139,續 刀劍亂舞 -花丸-（僅限港澳台地區）,21.8万追番
1140,银河英雄传说：全新命题 星乱,21.7万追番
1141,明日的与一,21.6万追番
1142,黑子的篮球 LAST GAME,21.6万追剧
1143,妖精的尾巴 剧场版 凤凰巫女,21.6万追番
1144,雨色可可side G,21.5万追番
1145,枕男子,21.5万追番
1146,校园迷糊大王,21.4万追番
1147,精灵宝可梦XY&Z,21.4万追番
1148,玛丽与魔女之花,21.4万追剧
1149,骇客娃娃,21.2万追番
1150,理科生坠入情网，故尝试证明。 中配版,21.1万追番
1151,告白实行委员会 嫉忌的答复,21.1万追番
1152,君吻Pure Rouge,21.1万追番
1153,歌之☆王子殿下 真爱REVOLUTIONS,21.1万追番
1154,天堂之吻,21.1万追番
1155,他和她的故事,21万追番
1156,机动战士高达 雷霆宙域战线 第二季,21万追番
1157,阳光中的青时雨,20.8万追番
1158,琴之森,20.8万追番
1159,旋风管家 CAN'T TAKE MY EYES OFF YOU,20.8万追番
1160,机动战士高达 雷霆宙域战线 第一季,20.7万追番
1161,TSUKIPRO,20.6万追番
1162,拜托了 爱因兹贝伦咨询室,20.6万追番
1163,A3!满开剧团,20.6万追番
1164,青春歌舞伎,20.5万追番
1165,战姬绝唱SYMPHOGEAR,20.4万追番
1166,黑塔利亚 World Series 第4期,20.4万追番
1167,MIX,20.3万追番
1168,女神异闻录3 剧场版 #1 Spring of Birth,20.3万追番
1169,科学小飞侠Crowds,20.3万追番
1170,高校星歌剧,20.2万追番
1171,核爆默示录,20.1万追番
1172,活撃/刀剣乱舞（僅限港澳台地區）,20万追番
1173,早安恋味糕点店,20万追番
1174,超时空要塞 Frontier,20万追番
1175,零之使魔～三美姬的轮舞～OVA,20万追番
1176,女神异闻录 -圣洁之魂-,19.9万追番
1177,火之丸相扑,19.8万追番
1178,面包带来和平！,19.8万追番
1179,千枪士,19.8万追番
1180,江户盗贼团五叶,19.8万追番
1181,小凉宫春日的忧郁,19.8万追番
1182,干物妹！小埋 中配版,19.8万追番
1183,鲁邦三世 第一季,19.8万追番
1184,猎龙飞船,19.7万追番
1185,月野艺能事务所 第二季,19.7万追番
1186,Classica Loid,19.7万追番
1187,BLACK★ROCK SHOOTER OVA,19.7万追番
1188,SHOW BY ROCK!! 第二季,19.6万追番
1189,美妙射击部,19.6万追番
1190,KERORO军曹,19.5万追番
1191,结界师,19.5万追番
1192,空罐少女,19.5万追番
1193,钻石王牌,19.5万追番
1194,剧场版 魔法禁书目录炭 SP,19.4万追番
1195,你遭難了嗎？（僅限港澳台地區）,19.3万追番
1196,Concrete Revolutio 超人幻想 第二季,19.3万追番
1197,东京地震8.0,19.3万追番
1198,×××HOLiC 笼,19.2万追番
1199,高达创战者,19.2万追番
1200,少女革命,19.1万追番
1201,阿茹茉妮,19.1万追番
1202,初高中同校！！鬼灭学园物语,19.1万追番
1203,给桃子的信,19.1万追番
1204,Code Geass 反叛的鲁路修 娜娜莉梦游仙境,19.1万追番
1205,怪医黑杰克,19万追番
1206,银河英雄传说：全新命题,18.9万追番
1207,普通女高中生要做当地偶像,18.9万追番
1208,攻壳机动队 S.A.C. 2nd GIG,18.9万追番
1209,玛莉亚?狂热,18.9万追番
1210,交响情人梦,18.8万追番
1211,红伤骑士X,18.8万追番
1212,灼眼的夏娜 剧场版,18.8万追番
1213,告白实行委员会 我于此刻恋上你,18.8万追番
1214,精灵宝可梦 超世代,18.8万追番
1215,忍者少女千鸟,18.8万追番
1216,旋风管家 Cuties,18.8万追番
1217,麻辣教师GTO,18.7万追番
1218,翼年代记 第二季,18.6万追番
1219,武器种族传说,18.6万追番
1220,宣告黎明的露之歌,18.6万追番
1221,最游记,18.6万追番
1222,晨曦公主 OAD,18.5万追番
1223,大叔与棉花糖,18.5万追番
1224,今天开始做魔王 第三季,18.4万追番
1225,名侦探柯南 绯色的不在证明,18.3万追番
1226,悠久之翼2,18.3万追番
1227,学园天堂,18.3万追番
1228,蔷薇少女 梦之终结,18.2万追番
1229,灼眼的夏娜S,18.2万追番
1230,青之驱魔师 剧场版,18.1万追番
1231,调酒师,18.1万追番
1232,魍魉之匣,18.1万追番
1233,精灵宝可梦 世代,18.1万追番
1234,梦王国与沉睡的100王子 短篇动画,18万追番
1235,鬼平,18万追番
1236,钢之炼金术师 香巴拉的征服者,18万追番
1237,虫师 续章 铃之雫,17.8万追番
1238,城市猎人 TV版,17.8万追番
1239,勿忘蛛,17.7万追番
1240,时间旅行少女,17.7万追番
1241,绯弹的亚里亚 第一季 OVA,17.5万追番
1242,爱丽丝学园,17.5万追番
1243,影鳄 承,17.5万追番
1244,叛逆性百万亚瑟王 第二季,17.4万追番
1245,我们的存在,17.4万追番
1246,邻座的怪同学 OAD,17.3万追番
1247,美男高校地球防卫部LOVE！,17.2万追番
1248,梦王国与沉睡的100王子,17.2万追番
1249,魔法少女什么的已经够了啦。第二季,17.2万追番
1250,御神乐学园组曲,17.1万追番
1251,月色真美 SP,17.1万追番
1252,东之伊甸,17.1万追番
1253,HELLO!! 黄金拼图,17.1万追番
1254,ID-0,17.1万追番
1255,虹色时光,17万追番
1256,恋爱情结,17万追番
1257,伯纳德小姐说。,17万追番
1258,新妹魔王的契約者 BURST（僅限港澳台）,17万追番
1259,魔卡少女樱 知世的影像活跃日记,17万追番
1260,搞笑漫画日和＋,17万追番
1261,八月的棒球甜心,17万追番
1262,潜行吧！奈亚子W OVA,16.9万追番
1263,灵感！,16.9万追番
1264,BLACK CAT,16.9万追番
1265,女神异闻录5 动画版 年末特别篇「前篇 / 后篇」,16.9万追番
1266,A CHANNEL,16.9万追番
1267,排球少年剧场版 结束与开始,16.9万追番
1268,梦之祭,16.8万追番
1269,MYSELF;YOURSELF,16.8万追番
1270,光能使者,16.8万追番
1271,名侦探柯南 迷宫的十字路口,16.8万追番
1272,青春之旅 OAD,16.7万追番
1273,Dies irae 神怒之日（僅限港澳台地區）,16.6万追番
1274,小魔女学园,16.6万追番
1275,心跳回忆 ONLY LOVE,16.5万追番
1276,夜樱四重奏,16.5万追番
1277,钻石王牌 act II 前半,16.4万追番
1278,枪心剑刃,16.4万追番
1279,精灵宝可梦 钻石&珍珠,16.4万追番
1280,音乐少女,16.3万追番
1281,源氏物语千年纪 Genji,16.3万追番
1282,名侦探柯南 世纪末的魔术师,16.3万追番
1283,×××HOLiC 春梦记,16.3万追番
1284,×××HOLiC 仲夏夜之梦,16.3万追番
1285,B-PROJECT～绝顶＊Emotion～,16.2万追番
1286,偶像选举,16.2万追番
1287,怪医黑杰克剧场版之超人类,16.2万追番
1288,幻影少年,16.1万追番
1289,越狱兔 前传,16.1万追番
1290,越狱兔 第1季,16.1万追番
1291,如果有○○就好了。,16万追番
1292,CANDY BOY,15.9万追番
1293,武士弗拉明戈,15.9万追番
1294,我们这一家 新篇,15.9万追番
1295,混沌之脑,15.9万追番
1296,SHOW BY ROCK!! Short!!,15.9万追番
1297,狼雨,15.9万追番
